"","x"
"gainStrengthOnHitTaken:rollerBlades",0.00166559508711592
"gainStrengthOnHitTaken:shield",0.0106387096603987
"gainStrengthOnHitTaken:shiv",0.00668567495420976
"gainStrengthOnHitTaken:snowmanHead",-0.00792681021826188
"gainStrengthOnHitTaken:sportsJersey",-0.00937590502326866
"gainStrengthOnHitTaken:vikingHelmet",0.00622790253187087
"gainStrengthOnHitTaken:wandOfFlames",0.00310471642288044
"gainStrengthOnHitTaken:zapHelmet",-0.00107998570006054
"powerfulFists:battleAxe",-0.0625454008553878
"powerfulFists:bow",-0.0271090137757821
"powerfulFists:cornDog",0.0240164790390982
"powerfulFists:devilHorns",-0.0263778836075981
"powerfulFists:diamondSword",-0.0634895473480612
"powerfulFists:fairyHat",-0.0180038477773354
"powerfulFists:flamingoFloaty",0.0246915536555182
"powerfulFists:frillySkirt",0.0239149979303279
"powerfulFists:fullSuitOfArmor",-0.00295740467905413
"powerfulFists:jellyhat",-0.00657291042477556
"powerfulFists:laserBlaster",-0.0475909886318716
"powerfulFists:rhinocerosBeetleHorn",-0.0153494167442738
"powerfulFists:rollerBlades",-0.00680628347224659
"powerfulFists:shield",0.0182737950485496
"powerfulFists:shiv",-0.0300019046297947
"powerfulFists:snowmanHead",-0.0498964690828533
"powerfulFists:sportsJersey",-0.0118452723663392
"powerfulFists:vikingHelmet",0.012512470625
"powerfulFists:wandOfFlames",-0.0194546131135655
"powerfulFists:zapHelmet",-0.0109441406523083
"battleAxe:devilHorns",0.0354830048773926
"battleAxe:fairyHat",-0.00380028196958316
"battleAxe:flamingoFloaty",0.077418759279697
"battleAxe:frillySkirt",0.0117216261394247
"battleAxe:fullSuitOfArmor",0.0605912995995748
"battleAxe:jellyhat",0.0129867021041324
"battleAxe:rhinocerosBeetleHorn",-0.00422502138883626
"battleAxe:rollerBlades",-0.0059082207785948
"battleAxe:snowmanHead",-0.0746399728555738
"battleAxe:sportsJersey",-0.00250420689036841
"battleAxe:vikingHelmet",0.0366140420373886
"battleAxe:zapHelmet",-0.0109877087829813
"bow:devilHorns",-0.00771023553243342
"bow:fairyHat",-0.0246209215961575
"bow:flamingoFloaty",0.00926647060581777
"bow:frillySkirt",0.000484561762461171
"bow:fullSuitOfArmor",0.0277419844768806
"bow:jellyhat",-0.00309835299112447
"bow:rhinocerosBeetleHorn",-0.00113341565432819
"bow:rollerBlades",-0.0381994972604175
"bow:snowmanHead",-0.107397574998082
"bow:sportsJersey",-0.00273852316802834
"bow:vikingHelmet",-0.0344186219092422
"bow:zapHelmet",0.000306073728119628
"cornDog:devilHorns",0.0387385895827536
"cornDog:diamondSword",0.0731331290666465
"cornDog:fairyHat",0.0246366232248389
"cornDog:flamingoFloaty",-0.0333852052278647
"cornDog:frillySkirt",-0.0283806728363303
"cornDog:fullSuitOfArmor",0.0257474482538096
"cornDog:jellyhat",0.0401302896051127
"cornDog:laserBlaster",0.0652914656455346
"cornDog:rhinocerosBeetleHorn",0.0145546853706096
"cornDog:rollerBlades",0.0208320650090313
"cornDog:shield",0.00697202786181486
"cornDog:shiv",0.0299375228172532
"cornDog:snowmanHead",0.0038061164273753
"cornDog:sportsJersey",-0.0092671114730576
"cornDog:vikingHelmet",0.00726330699383426
"cornDog:wandOfFlames",0.0802802197578063
"cornDog:zapHelmet",0.0643971522914514
"devilHorns:diamondSword",-0.0122073347996449
"devilHorns:flamingoFloaty",0.091900925348184
"devilHorns:frillySkirt",0.0673984810423822
"devilHorns:laserBlaster",0.0199620905560495
"devilHorns:rollerBlades",0.00569388683639312
"devilHorns:shield",0.0197375854945347
"devilHorns:shiv",-0.0191721639957172
"devilHorns:sportsJersey",-0.00249888136706215
"devilHorns:wandOfFlames",0.0788505408025838
"diamondSword:fairyHat",-0.0255790715354494
"diamondSword:flamingoFloaty",0.021491412246492
"diamondSword:frillySkirt",0.0210968574844441
"diamondSword:fullSuitOfArmor",0.0371335259976562
"diamondSword:jellyhat",-0.0109472043024193
"diamondSword:laserBlaster",-0.0615138702374987
"diamondSword:rhinocerosBeetleHorn",-0.0214347182344107
"diamondSword:rollerBlades",0.00445165996126717
"diamondSword:shield",0.0631220438221205
"diamondSword:shiv",0.0385624151515739
"diamondSword:snowmanHead",-0.059810511912099
"diamondSword:sportsJersey",0.00290131276767055
"diamondSword:vikingHelmet",0.0198216811194981
"diamondSword:wandOfFlames",-0.0140937632929741
"diamondSword:zapHelmet",-0.020694476843624
"fairyHat:flamingoFloaty",0.00591640960591531
"fairyHat:frillySkirt",0.0165215564753873
"fairyHat:laserBlaster",-0.00892380180290929
"fairyHat:rollerBlades",0.0146711785928897
"fairyHat:shield",0.00549167135575457
"fairyHat:shiv",0.0169894313999038
"fairyHat:sportsJersey",0.00581402609305334
"fairyHat:wandOfFlames",0.00755680612496239
